Year,Value
1/1/2006,113.7
2/1/2006,112.8
3/1/2006,112.7
4/1/2006,115.1
5/1/2006,117.2
6/1/2006,117.3
7/1/2006,118.2
8/1/2006,118.8
9/1/2006,116.2
10/1/2006,113.3
11/1/2006,113.8
12/1/2006,115.1
1/1/2007,113.7
2/1/2007,114.1
3/1/2007,115.9
4/1/2007,117.5
5/1/2007,118.6
6/1/2007,120
7/1/2007,121.5
8/1/2007,121.1
9/1/2007,121.8
10/1/2007,123.6
11/1/2007,127.5
12/1/2007,127.3
1/1/2008,129.2
2/1/2008,129.5
3/1/2008,133.5
4/1/2008,137.3
5/1/2008,141.2
6/1/2008,145.5
7/1/2008,147.5
8/1/2008,143
9/1/2008,137.8
10/1/2008,129.6
11/1/2008,120
12/1/2008,114.5
1/1/2009,113
2/1/2009,113
3/1/2009,113.6
4/1/2009,114.8
5/1/2009,116.8
6/1/2009,120
7/1/2009,119.3
8/1/2009,121.1
9/1/2009,121.3
10/1/2009,122.3
11/1/2009,124.1
12/1/2009,124.4
1/1/2010,125.9
2/1/2010,125.8
3/1/2010,126.3
4/1/2010,127.7
5/1/2010,126.7
6/1/2010,125.2
7/1/2010,125.2
8/1/2010,125.7
9/1/2010,125.7
10/1/2010,127.1
11/1/2010,129.2
12/1/2010,131
1/1/2011,133
2/1/2011,135.3
3/1/2011,139.3
4/1/2011,142.9
5/1/2011,143.1
6/1/2011,142.2
7/1/2011,142.4
8/1/2011,141.9
9/1/2011,141.7
10/1/2011,141.2
11/1/2011,142.2
12/1/2011,142.2
1/1/2012,142.2
2/1/2012,142.2
3/1/2012,144.2
4/1/2012,144.1
5/1/2012,142
6/1/2012,138.7
7/1/2012,137.7
8/1/2012,139.4
9/1/2012,140.8
10/1/2012,141.2
11/1/2012,140.2
12/1/2012,139.4
